A,C,D,E,F,G,H,I,J
8133,Kelly Williams,58657,519.7,31.78,1.99,Alberta,Computer Peripherals,0.42
8134,Frank Merwin,59170,9.3,5.34,2.99,Alberta,Binders and Binder Accessories,0.38
8135,Frank Merwin,59170,232,62.18,10.84,Alberta,Office Furnishings,0.63
8136,Frank Merwin,59170,-380.9,41.47,34.2,Alberta,Office Furnishings,0.73
8137,Frank Merwin,59170,-1510.89,1938.02,13.99,Alberta,Office Machines,0.38
8138,Annie Thurman,59297,-205.02,119.99,56.14,Alberta,Office Machines,0.39
8139,Ruben Dartt,6,-4.64,2.08,2.56,Alberta,"Scissors, Rulers and Trimmers",0.55
8140,Liz Pelletier,32,1054.82,107.53,5.81,Alberta,Office Furnishings,0.65
8141,Liz Pelletier,32,-1748.56,70.89,89.3,Alberta,Tables,0.72
8142,Liz Pelletier,32,-85.13,7.99,5.03,Alberta,Telephones and Communication,0.6
8143,Tony Sayre,420,-20.69,4.98,4.86,Alberta,Paper,0.38
8144,Tony Sayre,420,-14.56,5.78,5.37,Alberta,Paper,0.36
8145,Roy Phan,1857,20,5.58,1.99,Alberta,Pens & Art Supplies,0.46
8146,Clay Cheatham,2247,-4266.09,3502.14,8.73,Alberta,Office Machines,0.57
8147,Yoseph Carroll,2882,565.34,160.98,30,Alberta,Chairs & Chairmats,0.62
8148,Yoseph Carroll,2882,12.61,40.98,1.99,Alberta,Computer Peripherals,0.44
8149,Raymond Book,3297,-196.8,3.75,7.5,Alberta,Labels,0.37
8150,Tony Sayre,3655,-30.74,15.99,13.18,Alberta,Binders and Binder Accessories,0.37
8151,Tony Sayre,3655,600.42,125.99,7.69,Alberta,Telephones and Communication,0.58
8152,Alan Dominguez,3746,162.67,115.99,2.5,Alberta,Telephones and Communication,0.57
8153,Alan Dominguez,3746,-67.49,5.98,5.79,Alberta,Paper,0.36
8154,Stephanie Phelps,3845,294.39,363.25,19.99,Alberta,Appliances,0.57
8155,Stephanie Phelps,3845,-10.4,19.98,10.49,Alberta,Office Furnishings,0.49
8156,Stephanie Phelps,3845,39.04,8.34,0.96,Alberta,Office Furnishings,0.43
8157,Yoseph Carroll,4514,374.63,125.99,7.69,Alberta,Telephones and Communication,0.59
8158,Alan Dominguez,4672,-16.64,7.7,3.68,Alberta,Office Furnishings,0.52
8159,Adrian Hane,4705,-71.44,7.98,6.5,Alberta,Storage & Organization,0.59
8160,Tony Sayre,4805,-25.95,6.48,7.37,Alberta,Paper,0.37
8161,Tonja Turnell,5222,4503.63,349.45,60,Alberta,Tables,
8162,Brendan Sweed,5441,-92.05,6.48,6.6,Alberta,Paper,0.37
8163,Brendan Sweed,5441,6.11,17.15,4.96,Alberta,Storage & Organization,0.58
8164,Tony Sayre,6500,-141.02,30.42,8.65,Alberta,Computer Peripherals,0.74
8165,Tony Sayre,6500,-16.15,1.95,1.63,Alberta,Pens & Art Supplies,0.46
8166,Brendan Sweed,6562,2028.12,1360.14,14.7,Alberta,Office Machines,0.59
8167,Ruben Dartt,7203,9296.35,896.99,19.99,Alberta,Binders and Binder Accessories,0.38
8168,Tony Sayre,7553,46.8,92.23,39.61,Alberta,Office Furnishings,0.67
8169,Tony Sayre,7553,-14.81,4.28,6.72,Alberta,Paper,0.4
8170,Jim Karlsson,7680,-0.14,35.44,19.99,Alberta,Paper,0.38
8171,Tony Sayre,7719,34.52,13.48,4.51,Alberta,Storage & Organization,0.59
8172,Jim Karlsson,8167,-16.48,6.48,6.22,Alberta,Paper,0.37
8173,Jim Karlsson,8167,432.38,35.99,1.25,Alberta,Telephones and Communication,0.57
8174,Brendan Sweed,8353,-36.63,8.32,2.38,Alberta,Computer Peripherals,0.74
8175,Brendan Sweed,8353,-2.12,2.94,0.96,Alberta,Pens & Art Supplies,0.58
8176,Roy Phan,8609,-108.08,20.99,2.5,Alberta,Telephones and Communication,0.81
8177,Tony Sayre,8997,4176.25,449.99,24.49,Alberta,Copiers and Fax,0.52
8178,Tony Sayre,8997,20.38,5.84,1.2,Alberta,Pens & Art Supplies,0.55
8179,Steven Roelle,9089,-360.31,125.99,8.8,Alberta,Telephones and Communication,0.59
8180,Christopher Conant,9221,-377.74,3.25,49,Alberta,Appliances,0.56
8181,Christopher Conant,9221,326.4,60.98,19.99,Alberta,Envelopes,0.38
8182,Tonja Turnell,9286,45.79,4.98,0.8,Alberta,Paper,0.36
8183,Ruben Dartt,9476,-66.59,15.99,13.18,Alberta,Binders and Binder Accessories,0.37
8184,Andrew Roberts,9632,1440.27,120.98,9.07,Alberta,Binders and Binder Accessories,0.35
8185,Alan Dominguez,9796,501.99,40.97,1.99,Alberta,Computer Peripherals,0.42
8186,Liz Pelletier,9955,698.17,95.99,4.9,Alberta,Telephones and Communication,0.56
8187,Raymond Book,9985,-23.52,6.68,5.2,Alberta,Paper,0.37
8188,Tonja Turnell,10212,-2.91,5.08,3.63,Alberta,Office Furnishings,0.51
8189,Tonja Turnell,10212,564.22,55.48,6.79,Alberta,Paper,0.37
8190,Raymond Book,10439,384.51,18.94,1.49,Alberta,Binders and Binder Accessories,0.35
8191,Raymond Book,10439,-48.44,17.98,4,Alberta,Computer Peripherals,0.79
8192,Raymond Book,10439,26.13,2.89,0.5,Alberta,Labels,0.38
8193,Raymond Book,10439,-205.75,4.48,7.24,Alberta,Office Furnishings,0.54
8194,Brendan Sweed,10464,-69.07,4.98,6.07,Alberta,Paper,0.36
8195,Cyma Kinney,10820,365.23,40.97,8.99,Alberta,Pens & Art Supplies,0.59
8196,Cyma Kinney,10820,-13.45,4.71,0.7,Alberta,Rubber Bands,0.85
8197,Ruben Dartt,11013,-582.65,125.99,8.99,Alberta,Telephones and Communication,0.59
8198,Christine Abelman,11169,-26.45,8.85,5.6,Alberta,Binders and Binder Accessories,0.36
8199,Christine Abelman,11169,37.17,2.61,0.5,Alberta,Labels,0.39
8200,Christine Abelman,11169,-14.33,4.98,4.7,Alberta,Paper,0.38
8201,Erica Smith,11651,3.9,3.28,0.98,Alberta,Pens & Art Supplies,0.59
8202,Yoseph Carroll,11840,-6.24,4.48,2.5,Alberta,Envelopes,0.37
8203,Stephanie Phelps,11909,-20.91,20.99,0.99,Alberta,Telephones and Communication,0.57
8204,Christopher Conant,11910,-77.71,1.98,4.77,Alberta,Binders and Binder Accessories,0.4
8205,Stephanie Phelps,11943,7.35,14.45,7.17,Alberta,Binders and Binder Accessories,0.38
8206,Stephanie Phelps,11943,-425.72,70.98,30,Alberta,Chairs & Chairmats,0.73
8207,Yoseph Carroll,12356,-70.85,5.98,5.35,Alberta,Paper,0.4
8208,Steven Roelle,12581,341.1,65.99,5.99,Alberta,Telephones and Communication,0.58
8209,Sarah Brown,13031,-135,6.48,7.37,Alberta,Paper,0.37
8210,Raymond Book,13126,6492.67,599.99,24.49,Alberta,Copiers and Fax,0.5
8211,Raymond Book,13126,114.46,135.99,28.63,Alberta,Chairs & Chairmats,0.76
8212,Raymond Book,13126,-301.73,179.29,29.21,Alberta,Tables,0.74
8213,Roy Phan,13282,-126.6,34.98,7.53,Alberta,Computer Peripherals,0.76
8214,Roy Phan,13282,-5.92,6.3,0.5,Alberta,Labels,0.39
8215,Christopher Conant,13825,-88.6,6.48,6.35,Alberta,Paper,0.37
8216,Cyma Kinney,14212,-17.16,6.24,5.22,Alberta,Office Furnishings,0.6
8217,Cyma Kinney,14212,4.63,2.61,0.5,Alberta,Labels,0.39
8218,Sarah Brown,14789,12.06,10.89,4.5,Alberta,Appliances,0.59
8219,Sarah Brown,14789,-32.6,5.58,5.3,Alberta,Envelopes,0.35
8220,Jim Karlsson,15782,-1916.71,71.37,69,Alberta,Tables,0.68
8221,Clay Cheatham,16132,169.44,21.38,2.99,Alberta,Binders and Binder Accessories,0.36
8222,Clay Cheatham,17251,667.28,125.99,8.99,Alberta,Telephones and Communication,0.57
8223,Roy Phan,17253,-64.39,3.52,6.83,Alberta,Binders and Binder Accessories,0.38
8224,Shui Tom,17287,2477.77,150.98,13.99,Alberta,Office Machines,0.38
8225,Shui Tom,17287,993.81,415.88,11.37,Alberta,Storage & Organization,0.57
8226,Shui Tom,17287,1069.79,195.99,4.2,Alberta,Telephones and Communication,0.56
8227,Stephanie Phelps,18279,11.95,8.33,1.99,Alberta,Computer Peripherals,0.52
8228,Stephanie Phelps,18279,3272.9,499.99,24.49,Alberta,Copiers and Fax,0.36
8229,Sarah Brown,18503,1487.94,145.45,17.85,Alberta,Office Machines,0.56
8230,Sarah Brown,18503,-23.93,85.99,2.79,Alberta,Telephones and Communication,0.58
8231,Steven Roelle,18689,-78.37,7.1,6.05,Alberta,Binders and Binder Accessories,0.39
8232,Steven Roelle,18689,-3.78,18.97,9.03,Alberta,Paper,0.37
8233,Liz Pelletier,18758,594.44,102.3,21.26,Alberta,Office Furnishings,0.59
8234,Frank Hawley,19521,-306.32,35.48,35,Alberta,Storage & Organization,0.85
8235,Aaron Bergman,20513,4.56,2.84,0.93,Alberta,Pens & Art Supplies,0.54
8236,Jim Karlsson,21253,27.8,83.93,19.99,Alberta,Envelopes,0.38
8237,Liz Pelletier,21735,-159.35,9.98,12.52,Alberta,Office Furnishings,0.57
8238,Liz Pelletier,21735,-35.5,155.99,8.99,Alberta,Telephones and Communication,0.58
8239,Christine Abelman,22375,66.14,18.97,9.54,Alberta,Paper,0.37
8240,Andrew Roberts,22817,-740.07,262.11,62.74,Alberta,Tables,0.75
8241,Yoseph Carroll,23842,-74.03,6.68,6.92,Alberta,Paper,0.37
8242,Christopher Conant,23911,-1050.77,122.99,70.2,Alberta,Chairs & Chairmats,0.74
8243,Christopher Conant,23911,-79.05,50.98,6.5,Alberta,Computer Peripherals,0.73
8244,Christopher Conant,23911,-12.52,35.44,7.5,Alberta,Paper,0.38
8245,Raymond Book,24391,501.69,230.98,23.78,Alberta,Tables,0.6
8246,Victoria Brennan,24802,-23.44,73.98,12.14,Alberta,Computer Peripherals,0.67
8247,Roy Phan,24996,739.36,46.89,5.1,Alberta,Appliances,0.46
8248,Roy Phan,24996,-363.55,85.99,1.25,Alberta,Telephones and Communication,0.39
8249,Christine Abelman,25824,-19.93,3.95,5.13,Alberta,Appliances,0.59
8250,Christine Abelman,25824,6365.58,367.99,19.99,Alberta,Binders and Binder Accessories,0.4
8251,Christine Abelman,25824,394.52,376.13,85.63,Alberta,Tables,0.74
8252,Christine Abelman,25824,-258.23,95.99,4.9,Alberta,Telephones and Communication,0.56
8253,Alan Dominguez,26309,32.53,3.08,0.99,Alberta,Labels,0.37
8254,Roy Phan,26723,-201.49,65.99,7.69,Alberta,Telephones and Communication,0.59
8255,Tonja Turnell,27463,213.79,25.38,8.99,Alberta,Office Furnishings,0.5
8256,Tonja Turnell,27463,-20.57,4.98,4.72,Alberta,Paper,0.36
8257,Cyma Kinney,28069,-4.09,5.18,2.04,Alberta,Paper,0.36
8258,Cyma Kinney,28069,-2.87,5.84,0.83,Alberta,Pens & Art Supplies,0.49
8259,Stephanie Phelps,28934,297.57,100.98,7.18,Alberta,Computer Peripherals,0.4
8260,Stephanie Phelps,28934,303.39,160.98,30,Alberta,Chairs & Chairmats,0.62
8261,Stephanie Phelps,28934,1555.9,120.97,7.11,Alberta,Office Machines,0.36
8262,Andrew Roberts,29218,80.8,92.23,39.61,Alberta,Office Furnishings,0.67
8263,Andrew Roberts,29218,8.13,2.88,0.7,Alberta,Pens & Art Supplies,0.56
8264,Andrew Roberts,29218,-54.36,205.99,8.99,Alberta,Telephones and Communication,0.58
8265,Alan Dominguez,29286,-6923.6,3502.14,8.73,Alberta,Office Machines,0.57
8266,Raymond Book,29536,-72.73,100.98,15.66,Alberta,Appliances,0.57
8267,Raymond Book,29536,-176.77,220.98,64.66,Alberta,Bookcases,0.62
8268,Raymond Book,29536,26.64,35.44,19.99,Alberta,Paper,0.38
8269,Raymond Book,29569,11984.4,599.99,24.49,Alberta,Copiers and Fax,0.37
8270,Raymond Book,29569,127.55,18.97,5.21,Alberta,Paper,0.37
8271,Raymond Book,29827,-75.38,26.31,5.89,Alberta,Computer Peripherals,0.75
8272,Roy Phan,29926,-5.14,2.08,1.49,Alberta,Binders and Binder Accessories,0.38
8273,Roy Phan,30913,36.75,5.98,1.49,Alberta,Binders and Binder Accessories,0.39
8274,Roy Phan,30913,290.64,22.24,1.99,Alberta,Computer Peripherals,0.43
8275,Roy Phan,30913,50.26,2.89,0.5,Alberta,Labels,0.38
8276,Roy Phan,30913,49.86,19.98,10.49,Alberta,Office Furnishings,0.49
8277,Clay Cheatham,31271,-0.36,8.37,10.16,Alberta,Office Furnishings,0.59
8278,Adrian Shami,31399,-120.93,45.99,4.99,Alberta,Telephones and Communication,0.56
8279,Tonja Turnell,32007,9.93,417.4,75.23,Alberta,Tables,0.79
8280,Erica Smith,32164,-19.04,5.78,4.96,Alberta,Paper,0.36
8281,Erica Smith,32164,-92.16,3.28,3.97,Alberta,Pens & Art Supplies,0.56
8282,Erica Smith,32164,-461.45,296.18,54.12,Alberta,Tables,0.76
8283,Andrew Roberts,32228,43.53,5.84,1.2,Alberta,Pens & Art Supplies,0.55
8284,Christopher Conant,32386,-3974.46,1938.02,13.99,Alberta,Office Machines,0.38
8285,Yoseph Carroll,32610,-276.54,6.84,8.37,Alberta,"Scissors, Rulers and Trimmers",0.58
8286,Yoseph Carroll,32610,88.36,125.99,7.69,Alberta,Telephones and Communication,0.58
8287,Tonja Turnell,32994,-164.89,6.48,8.73,Alberta,Paper,0.37
8288,Frank Hawley,33283,-1402.68,218.75,69.64,Alberta,Tables,0.77
8289,Tony Sayre,33764,-64.78,120.33,19.99,Alberta,Storage & Organization,0.59
8290,Tony Sayre,33764,-620.83,205.99,8.99,Alberta,Telephones and Communication,0.56
8291,Tony Sayre,34117,38.74,6.75,2.99,Alberta,Binders and Binder Accessories,0.35
8292,Raymond Book,35366,-98.42,6.48,7.81,Alberta,Paper,0.37
8293,Phillina Ober,35426,3.85,10.31,1.79,Alberta,Paper,0.38
8294,Victoria Brennan,35490,2.08,5.84,1.2,Alberta,Pens & Art Supplies,0.55
8295,Victoria Brennan,35490,432.52,35.99,1.1,Alberta,Telephones and Communication,0.55
8296,Andrew Roberts,35686,-254.68,6.48,9.17,Alberta,Paper,0.37
8297,Tonja Turnell,35744,401.85,55.94,6.55,Alberta,Computer Peripherals,0.68
8298,Roy Phan,35936,-10.38,7.84,4.71,Alberta,Binders and Binder Accessories,0.35
8299,Roy Phan,35936,813.33,105.34,24.49,Alberta,Office Furnishings,0.61
8300,Phillina Ober,36257,294.21,20.89,1.99,Alberta,Computer Peripherals,0.48
8301,Aaron Bergman,36262,-47.64,6.68,6.15,Alberta,Paper,0.37
8302,Aaron Bergman,36262,-30.51,5.68,3.6,Alberta,"Scissors, Rulers and Trimmers",0.56
8303,Aaron Bergman,36262,1148.9,205.99,2.5,Alberta,Telephones and Communication,0.59
8304,Christine Abelman,36292,-98.17,4.98,7.54,Alberta,Paper,0.38
8305,Christine Abelman,36292,-182.8,22.84,16.87,Alberta,Paper,0.39
8306,Clay Cheatham,36357,-370.04,449.99,49,Alberta,Copiers and Fax,0.38
8307,Erica Smith,36482,-7.4,5.98,5.15,Alberta,Paper,0.36
8308,Erica Smith,36482,861.78,328.14,91.05,Alberta,Appliances,0.57
8309,Erica Smith,36482,489.58,105.34,24.49,Alberta,Office Furnishings,0.61
8310,Frank Hawley,36772,-143.65,6.48,6.35,Alberta,Paper,0.37
8311,Christine Abelman,36998,-409.24,9.98,12.52,Alberta,Office Furnishings,0.57
8312,Christine Abelman,36998,-237.01,6.48,9.54,Alberta,Paper,0.37
8313,Christine Abelman,36998,-17.16,6.48,5.19,Alberta,Paper,0.37
8314,Roy Phan,37095,-14140.7,6783.02,24.49,Alberta,Office Machines,0.39
8315,Victoria Brennan,37319,-37.11,10.89,4.5,Alberta,Appliances,0.59
8316,Victoria Brennan,38886,27.47,6.7,1.56,Alberta,Pens & Art Supplies,0.52
8317,Tonja Turnell,39140,-624.29,81.94,55.81,Alberta,Bookcases,0.6
8318,Aaron Bergman,39682,729.34,55.48,14.3,Alberta,Paper,0.37
8319,Tonja Turnell,39813,-130.5,6.48,6.6,Alberta,Paper,0.37
8320,Raymond Book,39937,-0.4,2.78,1.49,Alberta,Binders and Binder Accessories,0.39
8321,Yoseph Carroll,40034,131.39,12.28,4.86,Alberta,Paper,0.38
8322,Christine Abelman,40128,1445.36,240.98,60.2,Alberta,Bookcases,0.56
8323,Phillina Ober,40519,-10.32,2.18,1.38,Alberta,Rubber Bands,0.44
8324,Adrian Shami,40838,-136.82,8.09,7.96,Alberta,Office Furnishings,0.49
8325,Adrian Shami,40838,-93.26,20.99,1.25,Alberta,Telephones and Communication,0.83
8326,Stephanie Phelps,41189,66.28,6.45,1.34,Alberta,Paper,0.36
8327,Christine Abelman,41255,331.48,60.65,12.23,Alberta,Office Furnishings,0.64
8328,Erica Smith,41760,2648.08,315.98,19.99,Alberta,Binders and Binder Accessories,0.38
8329,Erica Smith,41760,-133.18,9.98,12.52,Alberta,Office Furnishings,0.57
8330,Erica Smith,41760,-278.87,115.99,2.5,Alberta,Telephones and Communication,0.57
8331,Erica Smith,41760,696.95,95.99,8.99,Alberta,Telephones and Communication,0.57
8332,Brendan Sweed,42852,-63.51,9.06,9.86,Alberta,Paper,0.4
8333,Brendan Sweed,42982,651.74,39.89,3.04,Alberta,Office Furnishings,0.53
8334,Tonja Turnell,43298,988.2,199.99,24.49,Alberta,Copiers and Fax,0.46
8335,Tonja Turnell,43298,-50.27,6.48,7.37,Alberta,Paper,0.37
8336,Andrew Roberts,44516,-47.32,3.28,3.97,Alberta,Pens & Art Supplies,0.56
8337,Christopher Conant,45088,-447.41,195.99,4.2,Alberta,Telephones and Communication,0.6
8338,Victoria Brennan,46599,208.31,62.18,10.84,Alberta,Office Furnishings,0.63
8339,Jeremy Lonsdale,47524,-160.72,35.77,9.02,Alberta,Computer Peripherals,0.75
8340,Victoria Brennan,48000,26.75,17.48,1.99,Alberta,Computer Peripherals,0.45
8341,Phillina Ober,48385,-56.6,4.98,4.62,Alberta,Computer Peripherals,0.64
8342,Andrew Roberts,49602,-519.94,150.98,66.27,Alberta,Bookcases,0.65
8343,Shui Tom,50146,519.59,85.99,2.79,Alberta,Telephones and Communication,0.58
8344,Roy Phan,50148,3459.43,1938.02,13.99,Alberta,Office Machines,0.38
8345,Shui Tom,50594,-4.96,4.63,1.93,Alberta,Pens & Art Supplies,0.52
8346,Shui Tom,50594,668.96,65.99,8.8,Alberta,Telephones and Communication,0.58
8347,Ruben Dartt,50726,2532,200.98,23.76,Alberta,Chairs & Chairmats,0.58
8348,Ruben Dartt,50726,36.01,4.13,0.99,Alberta,Labels,0.39
8349,Christopher Conant,50790,-148.8,4.97,5.71,Alberta,Office Furnishings,0.54
8350,Tony Sayre,51424,21.29,2.62,0.8,Alberta,Rubber Bands,0.39
8351,Tony Sayre,51424,-47.54,16.74,7.04,Alberta,Storage & Organization,0.81
8352,Shui Tom,51872,41.83,238.4,24.49,Alberta,Chairs & Chairmats,
8353,Shui Tom,51872,128.95,85.99,1.25,Alberta,Telephones and Communication,0.39
8354,Shui Tom,51872,1242.85,155.99,3.9,Alberta,Telephones and Communication,0.55
8355,Adrian Shami,52230,-793.36,95.98,58.2,Alberta,Chairs & Chairmats,0.58
8356,Roy Phan,52518,-47.37,20.95,4,Alberta,Computer Peripherals,0.6
8357,Ruben Dartt,52673,-4.68,175.99,8.99,Alberta,Telephones and Communication,0.57
8358,Ruben Dartt,52673,-16.53,5.18,5.74,Alberta,Binders and Binder Accessories,0.36
8359,Adrian Shami,53026,-17.58,9.31,3.98,Alberta,"Scissors, Rulers and Trimmers",0.56
8360,Aaron Bergman,54019,1219.87,120.97,26.3,Alberta,Office Machines,0.38
8361,Tonja Turnell,54913,14.99,4.76,0.88,Alberta,Paper,0.39
8362,Victoria Brennan,55424,-4.13,1.76,4.86,Alberta,Office Furnishings,0.41
8363,Erica Smith,55874,33.01,5.68,1.39,Alberta,Envelopes,0.38
8364,Victoria Brennan,56327,331.56,40.99,17.48,Alberta,Paper,0.36
8365,Victoria Brennan,56327,59.73,180.98,55.24,Alberta,Appliances,0.57
8366,Victoria Brennan,56327,357.23,29.18,8.55,Alberta,Office Furnishings,0.42
8367,Adrian Shami,56706,-129.57,99.99,19.99,Alberta,Office Machines,0.52
8368,Raymond Book,57125,-71.04,2.84,5.44,Alberta,Binders and Binder Accessories,0.36
8369,Raymond Book,57125,373.52,28.53,1.49,Alberta,Binders and Binder Accessories,0.38
8370,Christopher Conant,57152,-2.66,3.8,1.49,Alberta,Binders and Binder Accessories,0.38
8371,Christopher Conant,57152,109.19,15.57,1.39,Alberta,Envelopes,0.38
8372,Ruben Dartt,57216,-545.82,280.98,57,Alberta,Chairs & Chairmats,0.78
8373,Ruben Dartt,57216,4.48,2.2,1.2,Alberta,Pens & Art Supplies,0.41
8374,Andy Yotov,57281,-111.33,22.38,15.1,Alberta,Binders and Binder Accessories,0.38
8375,Andy Yotov,57281,-220.84,100.98,35.84,Alberta,Bookcases,0.62
8376,Andrew Roberts,57827,-111.4,100.98,35.84,Alberta,Bookcases,0.62
8377,Andrew Roberts,57827,-77.03,4.98,5.49,Alberta,Paper,0.38
8378,Tony Sayre,58949,548.44,35.99,1.1,Alberta,Telephones and Communication,0.55
8379,Nicole Brennan,1222,-121.91,5.28,5.57,Alberta,Paper,0.4
8380,Jessica Myrick,5767,-95.06,4.13,5.04,Alberta,Binders and Binder Accessories,0.38
8381,Jessica Myrick,5767,756.1,82.99,5.5,Alberta,Computer Peripherals,0.44
8382,Jessica Myrick,8961,-1291.39,100.8,60,Alberta,Tables,0.59
8383,Nicole Brennan,11712,0.37,4.28,0.94,Alberta,Pens & Art Supplies,0.56
8384,Jason Fortune,14883,-211.58,25.98,14.36,Alberta,Chairs & Chairmats,0.6
8385,Jason Fortune,14883,1557.64,125.99,2.5,Alberta,Telephones and Communication,0.6
8386,Harry Greene,20193,-121.59,3.52,6.83,Alberta,Binders and Binder Accessories,0.38
8387,Frank Hawley,36772,0.88,2.88,0.99,Alberta,Labels,0.36
8388,Frank Hawley,36772,2713.95,808.49,55.3,Alberta,Office Machines,0.4
8389,Jason Fortune,39492,1332.44,200.99,4.2,Alberta,Telephones and Communication,0.59
8390,Grant Donatelli,46212,72.28,7.78,2.5,Alberta,Envelopes,0.38
8391,Mick Brown,46437,385.37,29.34,7.87,Alberta,Office Furnishings,0.54
8392,Frank Hawley,47360,-514.18,89.99,42,Alberta,Chairs & Chairmats,0.66
8393,Harry Greene,52706,480.53,28.53,1.49,Alberta,Binders and Binder Accessories,0.38
8394,Harry Greene,54279,1977.69,264.98,17.86,Alberta,Office Machines,0.58
8395,Mick Brown,55558,-323.18,150.98,66.27,Alberta,Bookcases,0.65
8396,Mick Brown,55558,22.25,17.07,8.13,Alberta,Envelopes,0.38
8397,Frank Hawley,56550,343.05,22.23,5.08,Alberta,Office Furnishings,0.41
8398,Frank Hawley,56550,-159.24,65.99,8.99,Alberta,Telephones and Communication,0.56
8399,Grant Donatelli,56581,580.43,105.98,13.99,Alberta,Office Furnishings,0.65
8400,Christopher Conant,57152,109.19,15.57,1.39,Alberta,Envelopes,0.38
8401,Ruben Dartt,57216,-545.82,280.98,57,Alberta,Chairs & Chairmats,0.78
8402,Ruben Dartt,57216,4.48,2.2,1.2,Alberta,Pens & Art Supplies,0.41
8403,Andy Yotov,57281,-111.33,22.38,15.1,Alberta,Binders and Binder Accessories,0.38
8404,Andy Yotov,57281,-220.84,100.98,35.84,Alberta,Bookcases,0.62
8405,Andrew Roberts,57827,-111.4,100.98,35.84,Alberta,Bookcases,0.62
8406,Andrew Roberts,57827,-77.03,4.98,5.49,Alberta,Paper,0.38
8407,Tony Sayre,58949,548.44,35.99,1.1,Alberta,Telephones and Communication,0.55
8408,Nicole Brennan,1222,-121.91,5.28,5.57,Alberta,Paper,0.4
8409,Jessica Myrick,5767,-95.06,4.13,5.04,Alberta,Binders and Binder Accessories,0.38
8410,Jessica Myrick,5767,756.1,82.99,5.5,Alberta,Computer Peripherals,0.44
8411,Jessica Myrick,8961,-1291.39,100.8,60,Alberta,Tables,0.59
8412,Nicole Brennan,11712,0.37,4.28,0.94,Alberta,Pens & Art Supplies,0.56
8413,Jason Fortune,14883,-211.58,25.98,14.36,Alberta,Chairs & Chairmats,0.6
8414,Jason Fortune,14883,1557.64,125.99,2.5,Alberta,Telephones and Communication,0.6
8415,Harry Greene,20193,-121.59,3.52,6.83,Alberta,Binders and Binder Accessories,0.38
8416,Frank Hawley,36772,0.88,2.88,0.99,Alberta,Labels,0.36
8417,Frank Hawley,36772,2713.95,808.49,55.3,Alberta,Office Machines,0.4
8418,Jason Fortune,39492,1332.44,200.99,4.2,Alberta,Telephones and Communication,0.59
8419,Grant Donatelli,46212,72.28,7.78,2.5,Alberta,Envelopes,0.38
8420,Mick Brown,46437,385.37,29.34,7.87,Alberta,Office Furnishings,0.54
8421,Frank Hawley,47360,-514.18,89.99,42,Alberta,Chairs & Chairmats,0.66
8422,Harry Greene,52706,480.53,28.53,1.49,Alberta,Binders and Binder Accessories,0.38
8423,Harry Greene,54279,1977.69,264.98,17.86,Alberta,Office Machines,0.58
8424,Mick Brown,55558,-323.18,150.98,66.27,Alberta,Bookcases,0.65
8425,Mick Brown,55558,22.25,17.07,8.13,Alberta,Envelopes,0.38
8426,Frank Hawley,56550,343.05,22.23,5.08,Alberta,Office Furnishings,0.41
8427,Frank Hawley,56550,-159.24,65.99,8.99,Alberta,Telephones and Communication,0.56
8428,Grant Donatelli,56581,580.43,105.98,13.99,Alberta,Office Furnishings,0.65
8429,Nicole Brennan,33222,-626.08,60.98,30,British Columbia,Chairs & Chairmats,0.7
8430,Nicole Brennan,33222,28.89,2.88,0.7,British Columbia,Pens & Art Supplies,0.56
8431,Jay Fine,33317,-1605.73,4.48,49,British Columbia,Appliances,0.6
8432,Jay Fine,33317,-90.59,2.16,6.05,British Columbia,Binders and Binder Accessories,0.37
8433,Jay Fine,33317,-36.9,9.71,9.45,British Columbia,Storage & Organization,0.6
8434,Jay Fine,33317,10.98,55.99,1.25,British Columbia,Telephones and Communication,0.55
8435,Juliana Krohn,33445,-197.06,100.98,35.84,British Columbia,Bookcases,0.62
8436,Juliana Krohn,33445,103.11,70.98,26.74,British Columbia,Bookcases,0.6
8437,Juliana Krohn,33445,-589.58,182.55,69,British Columbia,Tables,0.72
8438,Yana Sorensen,33604,-56.3,5.4,7.78,British Columbia,Binders and Binder Accessories,0.37
8439,Bradley Drucker,33696,-101.41,27.48,4,British Columbia,Computer Peripherals,0.75
8440,Adam Hart,33702,28.11,2.89,0.5,British Columbia,Labels,0.38
8441,Benjamin Venier,33923,425.75,65.99,5.99,British Columbia,Telephones and Communication,0.58
8442,Ivan Liston,33924,1542,500.98,28.14,British Columbia,Office Machines,0.38
8443,Sara Luxemburg,33987,270.6,65.99,3.99,British Columbia,Telephones and Communication,0.59
8444,Tom Ashbrook,34243,-16.49,8.75,8.54,British Columbia,Office Furnishings,0.43
8445,Tom Ashbrook,34243,-270.96,7.28,11.15,British Columbia,Paper,0.37
8446,Tom Ashbrook,34243,-1087.36,35.48,35,British Columbia,Storage & Organization,0.85
8447,Joni Wasserman,34279,7.55,349.45,60,British Columbia,Tables,
8448,Eric Murdock,34406,-3.23,4.71,0.7,British Columbia,Rubber Bands,0.85
8449,Brad Thomas,34597,-258.85,125.99,2.5,British Columbia,Telephones and Communication,0.58
8450,Victoria Pisteka,34980,100.77,18.65,3.77,British Columbia,Office Furnishings,0.39
8451,Victoria Pisteka,34980,120.02,34.76,5.49,British Columbia,Storage & Organization,0.6
8452,Victoria Pisteka,34980,148.34,46.89,5.1,British Columbia,Appliances,0.46
